date,sleep_score,sleep_total_min,hr_night_avg,steps_total,active_kcal,sleep_deep_min,sleep_rem_min,sleep_awakenings,data_era,day_of_week,month
2019-06-25,54.94,514.9833333333333,74.20833333333333,7816.0,1004.0,0.0,0.0,0.0,0,1,6
2019-06-26,53.62,511.98333333333335,75.59166666666667,13462.0,2285.0,0.0,0.0,0.0,0,2,6
2019-07-05,49.77,526.9833333333333,75.65833333333333,10384.0,2442.0,0.0,0.0,0.0,0,4,7
2019-07-06,64.7,420.98333333333335,73.7,4737.0,2294.0,0.0,0.0,0.0,0,5,7
2019-07-07,57.02,482.98333333333335,78.15416666666667,178.0,2850.0,0.0,0.0,0.0,0,6,7
2019-07-08,52.6,381.98333333333335,75.26666666666667,9.0,3235.0,0.0,0.0,0.0,0,0,7
2019-07-09,7.29,686.9833333333333,80.1375,117.0,3083.0,0.0,0.0,0.0,0,1,7
2019-07-10,50.54,379.98333333333335,76.30416666666666,1982.0,2494.0,0.0,0.0,0.0,0,2,7
2019-07-11,35.64,568.9833333333333,78.07916666666667,464.0,3309.0,0.0,0.0,0.0,0,3,7
2019-07-12,37.99,545.9833333333333,80.34583333333333,883.0,1963.0,0.0,0.0,0.0,0,4,7
2019-07-28,52.9,518.9833333333333,74.9,8898.0,1407.0,0.0,0.0,0.0,0,6,7
2019-07-29,50.92,551.9833333333333,70.725,6678.0,1347.0,0.0,0.0,0.0,0,0,7
2019-07-30,24.89,226.98333333333332,68.40555555555555,1055.0,275.0,0.0,0.0,0.0,0,1,7
2019-07-31,32.75,538.9833333333333,88.58888888888889,5989.0,1911.0,0.0,0.0,0.0,0,2,7
2019-08-01,45.61,378.98333333333335,79.425,2075.0,1417.0,0.0,0.0,0.0,0,3,8
2019-08-02,64.62,457.98333333333335,77.25416666666666,6393.0,1302.0,0.0,0.0,0.0,0,4,8
2019-08-03,59.03,494.98333333333335,74.81666666666666,15105.0,3113.0,0.0,0.0,0.0,0,5,8
2019-08-04,63.83,504.98333333333335,69.95,7076.0,1640.0,0.0,0.0,0.0,0,6,8
2019-08-05,54.74,521.9833333333333,73.17647058823529,5970.0,2141.0,0.0,0.0,0.0,0,0,8
2019-08-06,53.93,382.98333333333335,74.54583333333333,4803.0,1957.0,0.0,0.0,0.0,0,1,8
2019-08-07,77.27,451.98333333333335,69.825,2112.0,961.0,0.0,0.0,0.0,0,2,8
2019-08-08,67.73,484.98333333333335,70.68333333333334,5011.0,1492.0,0.0,0.0,0.0,0,3,8
2019-08-09,82.48,446.98333333333335,66.175,3933.0,1493.0,0.0,0.0,0.0,0,4,8
2019-08-10,46.3,587.9833333333333,67.80416666666666,6478.0,2137.0,0.0,0.0,0.0,0,5,8
2019-08-11,48.49,568.9833333333333,69.5125,5958.0,931.0,0.0,0.0,0.0,0,6,8
2019-08-12,41.79,576.9833333333333,72.64016736401673,14141.0,1920.0,0.0,0.0,0.0,0,0,8
2019-08-13,57.39,534.9833333333333,69.24267782426779,4700.0,720.0,0.0,0.0,0.0,0,1,8
2019-08-14,49.13,332.98333333333335,69.4125,11381.0,854.0,0.0,0.0,0.0,0,2,8
2019-08-15,39.96,557.9833333333333,77.02916666666667,10364.0,1876.0,0.0,0.0,0.0,0,3,8
2019-08-16,63.6,459.98333333333335,77.60262008733625,10582.0,2073.0,0.0,0.0,0.0,0,4,8
2019-08-17,53.53,494.98333333333335,78.48333333333333,11235.0,2337.0,0.0,0.0,0.0,0,5,8
2019-08-18,32.67,609.9833333333333,73.225,9640.0,1475.0,0.0,0.0,0.0,0,6,8
2019-08-19,54.51,380.98333333333335,73.82083333333334,1958.0,607.0,0.0,0.0,0.0,0,0,8
2019-08-20,45.98,548.9833333333333,74.51666666666667,5789.0,1601.0,0.0,0.0,0.0,0,1,8
2020-01-04,26.6,624.9833333333333,74.76666666666667,1593.0,736.0,0.0,0.0,0.0,0,5,1
2020-01-05,66.92,465.98333333333335,74.39166666666667,878.0,1024.0,0.0,0.0,0.0,0,6,1
2020-01-06,42.32,551.9833333333333,76.45833333333333,8184.0,2406.0,0.0,0.0,0.0,0,0,1
2020-01-07,48.8,552.9833333333333,71.97083333333333,8393.0,1598.0,0.0,0.0,0.0,0,1,1
2020-01-08,56.69,516.9833333333333,72.7125,9449.0,1917.0,0.0,0.0,0.0,0,2,1
2020-01-09,57.72,502.98333333333335,74.35416666666667,8070.0,1639.0,0.0,0.0,0.0,0,3,1
2020-01-10,45.1,570.9833333333333,71.43333333333334,7603.0,2065.0,0.0,0.0,0.0,0,4,1
2020-01-11,22.59,641.9833333333333,74.6125,12550.0,1392.0,0.0,0.0,0.0,0,5,1
2020-01-12,47.27,525.9833333333333,77.49166666666666,10998.0,1475.0,0.0,0.0,0.0,0,6,1
2020-01-13,58.6,512.9833333333333,72.1,7043.0,1635.0,0.0,0.0,0.0,0,0,1
2020-01-14,58.92,517.9833333333333,71.05833333333334,10233.0,1836.0,0.0,0.0,0.0,0,1,1
2020-01-15,53.77,532.9833333333333,71.9875,12604.0,1838.0,0.0,0.0,0.0,0,2,1
2020-01-16,39.92,559.9833333333333,76.72083333333333,7546.0,1651.0,0.0,0.0,0.0,0,3,1
2020-01-17,37.52,604.9833333333333,70.825,3568.0,1638.0,0.0,0.0,0.0,0,4,1
2020-09-27,34.3,538.8,84.0,603.0,18.0,0.0,0.0,0.0,0,6,9
2022-01-12,58.2,523.9833333333333,70.53333333333333,12676.0,799.0,0.0,0.0,0.0,0,2,1
2022-01-13,65.6,516.9833333333333,66.76666666666667,8492.0,572.0,0.0,0.0,0.0,0,3,1
2022-01-14,67.96,494.98333333333335,68.8625,7248.0,325.0,0.0,0.0,0.0,0,4,1
